BRUNEI,645,709,840,676,"1,003",607,742,627,739,653,678,"1,096","9 ,015"
CAMBODIA,219,233,245,366,325,267,295,311,276,319,414,233,"3 ,503"
INDONESIA,"3,949","3,615","4,235","3,705","4,035","3,772","4,233","4,528","3,832","4,238","4,086","3,950","4 8,178"
LAOS,93,97,119,104,139,87,98,111,105,91,91,96,"1 ,231"
MALAYSIA,"12,256","11,188","13,892","13,089","14,690","12,851","12,981","13,048","13,189","11,936","13,544","13,150","1 55,814"
MYANMAR,593,579,682,565,662,649,622,435,515,586,621,524,"7 ,033"
SINGAPORE,"12,995","14,279","16,942","15,816","17,363","15,422","14,585","14,515","14,122","14,366","14,928","15,843","1 81,176"
THAILAND,"3,426","3,759","4,059","4,429","3,541","3,422","3,351","3,569","3,418","3,961","3,637","3,466","4 4,038"
VIETNAM,"2,807","2,811","2,858","2,761","2,884","2,607","2,810","2,189","2,283","2,618","2,508","2,443","3 1,579"
CHINA,"21,164","41,812","30,067","33,250","31,537","32,495","66,689","65,403","51,378","42,073","37,329","37,644","4 90,841"
HONGKONG,"7,858","13,171","10,483","12,031","10,586","8,656","10,661","10,202","10,160","10,267","8,574","9,531","1 22,180"
JAPAN,"38,190","45,299","46,885","37,228","37,102","32,560","41,620","55,997","45,934","36,332","35,612","42,903","4 95,662"
KOREA,"147,163","121,218","93,099","90,465","94,086","96,954","119,292","139,472","95,386","102,057","105,330","135,156","1 ,339,678"
MACAU,577,793,833,"1,028",903,722,993,"1,012",856,"1,000",627,816,"1 0,160"
TAIWAN,"11,804","15,198","14,711","13,859","13,790","16,038","18,833","16,397","14,564","15,337","13,399","13,740","1 77,670"
BANGLADESH,311,268,411,321,450,332,568,407,328,415,489,364,"4 ,664"
INDIA,"6,221","5,244","6,415","6,335","7,030","5,848","5,565","5,837","6,070","6,590","7,108","6,561","7 4,824"
IRAN,213,140,258,195,315,359,143,124,129,208,233,188,"2 ,505"
NEPAL,360,305,203,186,242,271,176,232,203,249,202,279,"2 ,908"
PAKISTAN,391,338,419,337,466,328,324,412,328,337,364,302,"4 ,346"
SRI LANKA,384,391,423,450,562,493,349,427,328,516,544,425,"5 ,292"
BAHRAIN,302,225,271,327,287,275,423,361,327,268,197,299,"3 ,562"
EGYPT,135,142,151,152,102,138,140,165,112,123,96,174,"1 ,630"
JORDAN,67,58,61,51,58,81,64,49,53,39,47,49,6 77
KUWAIT,495,409,381,444,458,417,622,586,482,384,356,406,"5 ,440"
QATAR*,302,313,423,426,384,299,442,380,429,318,303,453,"4 ,472"
SAUDI ARABIA,"4,154","3,798","4,446","3,447","3,995","2,341","7,098","5,532","5,642","3,886","3,680","2,865","5 0,884"
UNITED ARAB EMIRATES,"1,169","1,170","1,728","1,626","1,455","1,181","1,822","1,451","1,318","1,313","1,147","1,501","1 6,881"
CANADA,"17,922","13,146","15,688","13,990","13,152","8,255","11,250","8,890","7,559","11,051","12,196","23,264","1 56,363"
MEXICO,307,235,267,243,222,264,338,290,241,230,293,215,"3 ,145"
USA,"76,896","65,330","71,831","69,520","67,199","65,173","65,218","50,050","46,291","59,150","55,451","87,108","7 79,217"
ARGENTINA,202,181,260,210,135,96,94,78,101,125,111,152,"1 ,745"
BRAZIL,309,337,319,353,266,260,234,271,253,249,341,303,"3 ,495"
COLOMBIA,134,94,119,109,88,111,103,80,117,99,89,85,"1 ,228"
PERU,46,39,42,46,46,39,41,65,45,39,52,61,5 61
VENEZUELA,17,19,15,12,20,18,16,23,25,12,25,19,2 21
ANDORRA,30,41,24,38,41,26,36,25,9,18,24,17,3 29
AUSTRIA,"1,617","1,310","1,112",961,749,606,"1,310",753,564,794,814,"1,677","1 2,267"
BELGIUM,"1,000","1,031","1,203","1,098",881,"1,041","1,668",828,717,871,974,"1,513","1 2,825"
FRANCE,"4,418","5,821","4,735","4,362","3,478","2,421","3,772","2,954","2,212","2,962","3,271","5,099","4 5,505"
GERMANY,"7,848","7,396","8,576","5,665","5,135","3,835","4,853","5,689","4,208","5,549","6,936","9,658","7 5,348"
LUXEMBOURG,63,57,74,80,39,29,57,86,21,51,47,83,6 87
NETHERLANDS,"2,958","2,356","2,365","2,501","2,308","1,769","2,812","1,803","1,663","2,085","2,590","3,422","2 8,632"
SWITZERLAND,"2,995","2,551","2,576","2,834","1,923","1,353","2,340","1,242","1,444","2,036","2,164","3,742","2 7,200"
DENMARK,"1,873","1,830","1,536","1,016",953,892,"1,399",735,774,"1,046","1,129","2,086","1 5,269"
FINLAND,865,733,554,462,386,437,285,224,294,388,604,"1,316","6 ,548"
IRELAND,"1,112",849,"1,379","1,116","1,240","1,637","1,492",847,768,896,816,"1,898","1 4,050"
NORWAY,"1,954","1,787","2,175","1,387","1,141","2,712","2,498",912,"1,061","1,258","1,302","2,781","2 0,968"
SWEDEN,"2,970","2,871","2,310","1,493","1,140","1,438","1,062",738,907,"1,331","1,806","5,140","2 3,206"
UNITED KINGDOM,"11,967","11,374","16,730","14,045","12,294","9,614","15,215","12,338","8,783","11,054","11,869","19,306","1 54,589"
GREECE,206,231,220,168,202,167,135,176,165,228,211,277,"2 ,386"
ITALY,"2,649","2,172","1,931","1,640","1,323","1,313","1,599","1,991","1,086","1,435","1,681","2,800","2 1,620"
PORTUGAL,222,210,187,226,161,124,129,192,138,175,221,221,"2 ,206"
SPAIN,"2,087","1,764","2,109","1,785","1,560","1,489","2,260","3,095","1,374","1,685","2,264","2,672","2 4,144"
COMMONWEALTH OF,,,,,,,,,,,,,
INDEPENDENT STATES,"1,151",870,868,731,697,667,746,796,760,841,"1,018",955,"1 0,100"
RUSSIAN FEDERATION,"4,804","2,478","1,989","1,855","1,275","1,053","1,007","1,066","1,168","2,001","3,086","3,496","2 5,278"
TOTAL (CIS & RUSSIA),"5,955","3,348","2,857","2,586","1,972","1,720","1,753","1,862","1,928","2,842","4,104","4,451","35,378"
POLAND,948,967,767,505,474,331,355,419,482,705,"1,330",747,"8 ,030"
ISRAEL,"1,299","1,256","1,116","1,215",755,525,734,710,"1,280",742,839,"1,285","1 1,756"
TURKEY,546,509,511,452,402,518,469,516,442,529,556,576,"6 ,026"
AUSTRALIA,"23,281","17,625","21,993","20,674","18,750","16,797","18,122","15,855","17,609","18,265","19,448","32,768","2 41,187"
GUAM,"2,490","2,227","2,874","2,310","2,882","4,219","4,135","2,422","2,466","2,711","2,711","3,815","3 5,262"
NAURU,-,-,4,1,4,3,-,-,1,7,-,-,2 0
NEW ZEALAND,"1,582","1,319","1,703","1,771","1,733","1,465","1,626","1,558","1,449","1,518","1,554","3,301","2 0,579"
PAPUA NEW GUINEA,574,381,488,382,659,631,408,450,447,445,457,588,"5 ,910"
NIGERIA,91,82,124,117,133,150,149,99,102,129,138,116,"1 ,430"
SOUTH AFRICA,340,356,395,384,339,298,374,302,274,351,390,767,"4 ,570"
VERSEAS FILIPINOS***,"16,263","12,528","24,953","19,812","17,806","15,725","22,132","14,753","10,433","14,918","12,393","30,147","211,863"
